user_id,user_screen_name,indegree,outdegree,bad_user_id
157141159,giovanna_s9,1713,1988,127555988
183797686,matheus_filipp,125,92,155138493
106468880,Pitais,208,441,91447697
169722580,WaahBittencort,60475,37886,153202532
191937020,Dede2793,101,296,151361134
110717308,andywellcomee,5330,5585,94290243
129488790,thamararamos,87,37,111203413
83386226,CaiioMuniiz,429,926,150158695
179707489,dafny_jennifer,427,494,144833461
138812964,Julianaloos,426,950,114000958
167268503,biancamlima,105,212,80534965
128303962,AderaldoNeto_,5656,443,144077826
163578892,Rodrigosoaresj_,636,1803,131162222
172817467,bez_giba,7341,7703,141414886
97436215,lucasiagp,1397,1999,86083499
152251126,caahalmeida1,357,857,123174085
126488336,JhoowCastro,3873,1550,126962495
103945048,juliana_Bruna,1419,1980,92890315
121273497,Ivanlcunha,1940,2295,101663350
84670714,Marcosfsn,941,568,71955381
177638331,na_verdadeh,104,147,151757815
87233058,mynameisigor,261,1208,52479308
171063794,jeffersonsz,108,308,139413875
186097166,JustFamaOficial,9292,3655,147960441
58847737,AndreBarbboza,191,518,154649752
148503953,1991jeh,1025,1211,121291163
81181247,hudsonsilvestre,737,2000,69859982
55819391,joaopaulo795,32606,16399,42789458
165497494,marcolafp,448,1318,133210845
142851707,thamireslavl,997,2001,116507303
143859843,Droplok,104,39,124136137
55910982,diegoffranca,347,1124,90460897
188875360,owyeah_dylon,248,27,149967867
163622887,its_milaa,381,113,134183431
97349440,LeekaMaggs,360,180,87713224
191655455,FC_AdolescenteS,78,62,150997807
104464364,kahbastos,456,1740,44899546
173665191,Raah_Moraes_,151,79,150183957
78385672,thyerriandrew,180,231,68804631
77349668,Rafafernandesol,88,189,68298107
217035603,Mii_Fernanda,46,183,145870087
115117996,_isabellacunha,554,1405,134375971
193805541,12_matheus,48,100,153815272
128648065,01CaioRodrigues,33347,12818,121056596
167499653,LanzaManiaca,366,577,135829032
79352903,biaa_oliveiraa,384,704,65177233
191488461,BrasilColirios_,543,1352,136305662
114035476,villiansilvaa,1511,1246,154569702
157186381,rene_colorado,1245,2001,142261500
190524964,Shark_FaeL,1289,1235,150043930
158077779,ellen_tdb,1112,607,127466788
115172540,molequechutador,314,305,97327215
106301914,Real_Silva,20191,3142,152849012
172906521,GersinCordeiro,286,92,150682163
186301593,LooneAraujo,679,861,148374067
191023703,juuliagerei,402,1236,150386737
155427490,Diego__Snake,2837,2654,125517356
